,table1,table2,sum_table,rank1,rank2,rank_sum12
0,0.04735984888408573,0.04977041167550085,0.09713026055958658,24.0,26.0,28.0
1,0.01597511653538015,0.04273522198392055,0.0587103385193007,7.0,22.0,14.0
2,0.030308471809294364,0.04390774633494304,0.0742162181442374,14.0,23.0,20.0
3,0.008075495715237564,0.015149764218699117,0.023225259933936683,4.0,6.0,1.0
4,0.04606332922254925,0.05161244670115447,0.09767577592370372,23.0,27.0,29.0
5,0.04770630621657378,0.020442929958548316,0.06814923617512209,25.0,9.0,18.0
6,0.048389897447768546,0.04237581828082242,0.09076571572859096,28.0,21.0,25.0
7,0.026376728203811522,0.03483250759074811,0.06120923579455963,10.0,18.0,16.0
8,0.048100340549710255,0.000829191892369403,0.048929532442079655,27.0,0.0,11.0
9,0.0010843832433800132,0.02871666781843115,0.029801051061811162,0.0,13.0,3.0
10,0.0339962886840889,0.003190551821404122,0.03718684050549303,15.0,1.0,6.0
11,0.04309049993626423,0.034425441987662765,0.077515941923927,22.0,17.0,22.0
12,0.03673872996077138,0.01330466584838224,0.05004339580915362,17.0,5.0,12.0
13,0.0060176971372228,0.02052823802618932,0.026545935163412117,3.0,10.0,2.0
14,0.027484706076007955,0.0157765327959125,0.04326123887192045,11.0,7.0,9.0
15,0.009247295323720319,0.012044317032709867,0.021291612356430185,5.0,3.0,0.0
16,0.048077389372781505,0.009022940117193037,0.05710032948997454,26.0,2.0,13.0
17,0.04217793515705206,0.05309395462854878,0.09527188978560083,20.0,28.0,27.0
18,0.004603879624741128,0.03422415082782537,0.0388280304525665,2.0,16.0,7.0
19,0.054793608348042824,0.038344104848043715,0.09313771319608655,31.0,20.0,26.0
20,0.0513612627143587,0.056785198224681,0.1081464609390397,29.0,29.0,31.0
21,0.034300427084470224,0.030393799856858084,0.06469422694132831,16.0,14.0,17.0
22,0.04018127308844962,0.05751230492104546,0.09769357800949507,18.0,30.0,30.0
23,0.021704672477114155,0.01233573000257366,0.034040402479687815,9.0,4.0,5.0
24,0.0012036072891331384,0.05872160555133064,0.059925212840463774,1.0,31.0,15.0
25,0.019888168778004773,0.021858629265605438,0.041746798043610214,8.0,12.0,8.0
26,0.04274252199934383,0.033647939983580025,0.07639046198292385,21.0,15.0,21.0
27,0.01110405343223089,0.02090081673771176,0.03200487016994265,6.0,11.0,4.0
28,0.02929647842439228,0.0441072796992427,0.07340375812363498,13.0,24.0,19.0
29,0.02817666702109279,0.019466201041929775,0.047642868063022564,12.0,8.0,10.0
30,0.04048130667530293,0.04418528823084428,0.08466659490614721,19.0,25.0,23.0
31,0.053891613567622385,0.03575760209558796,0.08964921566321035,30.0,19.0,24.0
